City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Torbay,CA,75.0,few clouds,47.66,-52.73,See The Sea
6,Cidreira,BR,72.01,scattered clouds,-30.17,-50.22,Hotel Castelo
7,Hilo,US,75.2,heavy intensity rain,19.71,-155.08,SCP Hilo Hotel
14,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
17,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
19,Rock Sound,BS,84.43,overcast clouds,24.9,-76.2,Pink Corral Bay Property
20,Faribault,US,71.01,light rain,44.3,-93.27,GrandStay Residential Suites Hotel Faribault
23,Fazilka,IN,86.59,broken clouds,30.41,74.03,Hotel Gulmarg
26,Butaritari,KI,84.97,light rain,3.07,172.79,Isles Sunset Lodge
27,Albany,US,77.0,clear sky,42.65,-73.75,Hilton Albany
28,Atuona,PF,79.03,light rain,-9.8,-139.03,Villa Enata
30,San Patricio,PY,77.05,light rain,-26.98,-56.83,Flia. Ríos Ferreira
35,Yatou,CM,82.4,broken clouds,3.63,9.81,Mon Jardin
37,Gazanjyk,TM,84.97,clear sky,39.24,55.52,Railway motel
38,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
41,Dodge City,US,90.0,clear sky,37.75,-100.02,Windsor Inn & Suites
45,Villa Maria,CO,80.6,broken clouds,4.5,-74.09,"Rumbo al llano ""www.musicallanera.co"""
46,Port Elizabeth,US,73.99,overcast clouds,39.31,-74.98,HAMMER RUN
47,Chai Badan,TH,81.0,light rain,15.2,101.13,Narai Grand Hotel
50,Constitucion,MX,75.0,broken clouds,23.99,-104.67,Hotel Posada San Agustin
52,Emba,CY,82.4,clear sky,34.81,32.42,Elysium Hotel
53,Padang,ID,80.29,moderate rain,-0.92,100.36,Mercure Padang
54,Rorvik,NO,71.6,clear sky,64.86,11.24,Kysthotellet Rørvik AS
56,Moerai,PF,73.99,light rain,-22.43,-151.33,Le Manotel
57,Colares,PT,84.2,few clouds,38.8,-9.45,Arribas Sintra Hotel
59,Killin,US,86.0,broken clouds,33.61,-91.74,The Pines Mobile Home Park
61,Vaini,IN,75.97,light rain,15.34,74.49,Dandeli Lake County
62,Lompoc,US,82.0,mist,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Tual,ID,77.05,light rain,-5.67,132.75,Grand Vilia Hotel
73,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.02,Pousada Porto Praia
74,Faanui,PF,77.95,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Sainte-Maxime,FR,89.01,clear sky,43.31,6.64,Hôtel Les Jardins De Sainte Maxime
76,Tiassale,CI,74.53,light rain,5.9,-4.83,Hotel des hotes
78,Fortuna,US,75.0,haze,40.6,-124.16,Super 8 by Wyndham Fortuna
79,Ploemeur,FR,82.99,scattered clouds,47.73,-3.43,Best Western Plus Hotel Les Rives Du Ter
83,Sabha,LY,89.65,clear sky,27.03,14.43,محطة سفر غات
84,Labuhan,ID,73.27,light rain,-2.54,115.51,Pondok Indah Gula Habang
88,Mana,NG,81.91,light rain,13.03,5.27,RG Palace
89,Shimoda,JP,73.0,few clouds,34.7,138.93,Shimoda Tokyu Hotel
90,Xiongyue,CN,75.97,light rain,40.18,122.12,Samsung Business Hotel
91,Dingle,PH,73.45,moderate rain,11.0,122.67,SEGAYA PROPERTY
94,Campo Formoso,BR,80.65,broken clouds,-10.51,-40.32,Hotel Rio das Pedras
97,Saint-Philippe,CA,79.0,clear sky,45.36,-73.48,Camping St-André
98,Zhezkazgan,KZ,71.83,overcast clouds,47.8,67.71,Hotel Zumrat
101,Cap Malheureux,MU,72.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
103,Namibe,AO,71.6,scattered clouds,-15.19,12.15,Hotel Chik Chik Namibe
106,Saint-Joseph,FR,89.6,clear sky,43.56,6.97,Hôtel Château de la Tour
108,Mountain Home,US,71.6,clear sky,43.13,-115.69,Mountain Home Inn
114,Half Moon Bay,US,79.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
117,Kasempa,ZM,71.83,scattered clouds,-13.46,25.83,Jipumpu Guest House
121,Phan Thiet,VN,76.51,overcast clouds,10.93,108.1,Hotel Saigon-PT
125,Ribeira Grande,PT,73.4,light intensity drizzle,38.52,-28.7,Quinta da Meia Eira
129,Lasa,CY,82.4,clear sky,34.92,32.53,Lasa Heights Hotel
130,Fare,PF,78.13,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
132,Kibiti,TZ,72.91,scattered clouds,-7.72,38.94,Experia Guest House
134,Sur,OM,84.61,few clouds,22.57,59.53,Sur Plaza Hotel
137,Redwood City,US,79.0,clear sky,37.49,-122.23,Good Nite Inn Redwood City San Francisco
140,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.08,Scoop Guest House
141,Tottori,JP,71.47,broken clouds,35.5,134.23,Hotel Monarque Tottori
145,Meulaboh,ID,81.19,light rain,4.14,96.13,Kost Pria
147,Kiunga,PG,70.93,light rain,-6.12,141.3,Bugum Lodge
152,Makakilo City,US,80.6,shower rain,21.35,-158.09,Marriott's Ko Olina Beach Club
157,Victoria,BN,77.0,light rain,5.28,115.24,Tiara Labuan Hotel
158,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Aracati Hotel
159,Garowe,SO,84.25,broken clouds,8.41,48.48,Curubo Hotel
160,Rovinj,HR,82.99,clear sky,45.08,13.64,Hotel Monte Mulini
162,Horadiz,AZ,80.6,clear sky,39.45,47.33,Horadiz Olympic Center
165,Hami,CN,76.33,clear sky,42.84,93.51,Post And Telecommunication Hotel
166,Hambantota,LK,81.55,light rain,6.12,81.12,Bungalow 63
168,Impfondo,CD,73.99,few clouds,1.62,18.06,Le tropicana
171,San Policarpo,PH,75.61,moderate rain,12.18,125.51,Agapita M. Nicart
172,Saldanha,PT,74.71,broken clouds,41.42,-6.55,Quinta das amendoeiras BF
174,Itoman,JP,84.2,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
176,Bauta,CU,89.6,scattered clouds,22.98,-82.55,Piscina La Pérgola
177,Gat,SN,89.6,broken clouds,14.69,-16.54,Seo
182,Dukat,AL,84.99,scattered clouds,40.25,19.57,Llogora Tourist Village
183,Balkanabat,TM,87.85,clear sky,39.51,54.36,Nebitchi Hotel
184,Bambous Virieux,MU,72.0,broken clouds,-20.34,57.76,Casa Tia Villa
185,Nishihara,JP,77.0,broken clouds,35.74,139.53,Tanashi Daiichi Hotel
188,Beira,ES,78.01,few clouds,43.2,-8.36,Costa Da Egoa
189,Garmsar,IR,71.83,clear sky,35.22,52.34,مجتمع مرصاد
192,Cabedelo,BR,80.6,broken clouds,-6.97,-34.84,Fredo Apiou Guest House
193,Ewa Beach,US,80.6,shower rain,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
194,Inhumas,BR,89.6,few clouds,-16.36,-49.5,Hotel Classic
196,Huntsville,US,72.0,moderate rain,34.73,-86.59,Embassy Suites by Hilton Huntsville
197,Alofi,NU,71.6,overcast clouds,-19.06,-169.92,Taloa Heights
198,Veinticinco De Mayo,AR,70.0,overcast clouds,-27.38,-54.75,hotel colonial
200,Mogadishu,SO,75.79,few clouds,2.04,45.34,Hotel Juba
205,Buluang,PH,78.8,light rain,10.47,123.98,Estaca Bay Resort
214,Xinzhi,TW,82.99,few clouds,22.54,120.62,紫心樓
216,Agadez,NE,86.0,thunderstorm,16.97,7.99,Auberge d'Azel
219,Roald,NO,78.8,clear sky,62.58,6.12,Flem Cabins
222,Jashpurnagar,IN,70.93,light rain,22.88,84.14,Taj mobile
225,Douentza,ML,85.33,light rain,15.01,-2.95,Ogomono Doumbo
226,Khaniotis,GR,88.0,clear sky,40.0,23.58,Haris Hotel
229,Pulaski,US,73.0,overcast clouds,37.05,-80.78,"Mobile Home Rentals, LLC"
232,Sumoto,JP,77.0,scattered clouds,34.35,134.9,Yumekaiyu Awajishima
233,Sinnamary,GF,82.99,clear sky,5.38,-52.96,ALETHEIA Appartement Sinnamary
235,Tala,MX,79.0,broken clouds,20.65,-103.7,Juan Jose
237,Tortoli,IT,86.0,scattered clouds,39.93,9.66,Hotel La Bitta
238,Policoro,IT,89.01,scattered clouds,40.21,16.68,Heraclea Hotel Residence
240,Farmington,US,86.0,clear sky,36.73,-108.21,Courtyard by Marriott Farmington
241,Ahuimanu,US,80.6,shower rain,21.44,-157.84,Paradise Bay Resort
242,Ponta Do Sol,BR,77.77,few clouds,-20.63,-46.0,Hotel Escarpas do Lago
245,Sobotin,CZ,78.01,light rain,50.01,17.09,Penzion a apartmány Skipark Hraběšice
247,Caravelas,BR,74.53,light rain,-17.73,-39.27,Pousada dos Navegantes
248,Bella Union,CO,81.55,light rain,8.5,-73.35,Monumento a la virgen del Carmen
251,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
255,Havre-Saint-Pierre,CA,71.6,clear sky,50.23,-63.6,Auberge Niapiskau
256,Hasaki,JP,73.4,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
257,San Jose De Rio Tinto,HN,84.25,scattered clouds,14.93,-85.7,PARQUE ECOTURISTICO QUILIZ
259,Marawi,PH,75.0,light rain,8.0,124.29,Derogongan Residence
263,Gashua,NG,84.25,broken clouds,12.87,11.04,Forte Oil - Old Lorry Park
267,Warmbad,DE,82.0,scattered clouds,50.67,13.08,"Hotel & Restaurant ""Waldmühle"""
271,Pisco,PE,71.6,overcast clouds,-13.71,-76.2,Hotel San Isidro Oficial
272,Goderich,CA,75.99,overcast clouds,43.74,-81.71,Harmony Inn
278,Vila Velha,BR,86.0,few clouds,-3.71,-38.6,Motel Cê Que Sabe
279,Hamilton,CA,78.01,broken clouds,43.26,-79.87,Sheraton Hamilton Hotel
283,South River,US,75.0,scattered clouds,40.45,-74.39,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
284,Tsybli,UA,75.2,clear sky,49.99,31.57,Готель Вотчина
285,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
287,Karaton,ID,80.6,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
288,Belmonte,PT,81.0,moderate rain,40.36,-7.35,Pousada Convento de Belmonte
289,Isabela,PH,80.29,moderate rain,10.2,122.99,Bahay Kubo ni Tresing
290,Vila Franca Do Campo,PT,75.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
297,Lorengau,PG,78.13,light rain,-2.02,147.27,Lorengau Harbourside Hotel
298,Rairangpur,IN,75.79,few clouds,22.27,86.18,Krishna Saloon
303,Ilheus,BR,80.6,scattered clouds,-14.79,-39.05,Barravento Hotel
304,Jaisinghnagar,IN,72.73,light rain,23.63,78.57,Galaxy pan shop
305,Samfya,ZM,73.27,broken clouds,-11.37,29.56,Chita Lodge Samfya
306,Taltal,CL,71.65,clear sky,-25.41,-70.49,Residencial Karime
308,Roccastrada,IT,89.01,few clouds,43.01,11.17,La Melosa Resort & Spa
310,Montrose,GB,71.6,few clouds,56.71,-2.47,Park Hotel
311,Pandan,PH,81.37,moderate rain,11.72,122.09,Le Palme Beach Resort
312,Vanimo,PG,81.01,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
318,Sarankhola,BD,80.83,light rain,22.31,89.79,Red Crescent Cyclone Shelter Rashulpur
321,Nago,IT,84.99,clear sky,45.88,10.89,Hotel Garda
322,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Hotel Marilu
325,Porto Velho,BR,89.6,smoke,-8.75,-63.87,Ecos Hotel Conforto
326,Puqi,CN,80.47,overcast clouds,29.72,113.88,Ramada Plaza Chibi
327,Soubre,CI,72.91,moderate rain,5.79,-6.61,Hote Ivoire Soubré
329,Guerrero Negro,MX,72.01,clear sky,27.97,-114.04,The Halfway Inn
330,Nara,JP,77.0,few clouds,34.68,135.8,Hotel Nikko Nara
331,Santa Marta,CO,89.6,scattered clouds,11.24,-74.21,Hotel La Ballena Azul
332,Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
338,Paptalaya,HN,89.6,haze,15.5,-84.32,Hospedaje Ingnika
340,Krasnoarmeysk,RU,70.0,clear sky,56.12,38.15,Hotel Shale-Sport Krasnoarmeysk
341,Modasa,IN,74.53,moderate rain,23.47,73.3,HOTEL SUN SHINE
342,Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
345,Santa Rosa,AR,76.33,broken clouds,-36.62,-64.29,Calfucurá Apart Hotel
347,Nizwa,OM,89.29,overcast clouds,22.93,57.53,Orient Apartments
349,Zirandaro,MX,88.93,overcast clouds,18.45,-100.98,El Naranjo
353,Phonhong,LA,78.8,mist,18.5,102.42,Napakuang Resort
354,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
355,Hindoria,IN,76.51,light rain,23.9,79.57,Abdul Aleem Raza Qadri
356,Axim,GH,75.97,scattered clouds,4.87,-2.24,Axim Beach Resort And Spa
359,Santa Cecilia,CR,84.2,clear sky,9.85,-84.31,Establo San Rafael Natural Horsemanship Vacation Rentals.
361,Denpasar,ID,75.2,few clouds,-8.65,115.22,Warna Kedaton Hotel and Meetings
362,San Ramon,NI,78.8,scattered clouds,12.92,-85.84,Casagallovago
364,Ambilobe,MG,73.63,broken clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
365,Pelham,US,75.2,few clouds,42.73,-71.32,Tim and Jeanne Glasheen
366,Zaranj,AF,87.8,clear sky,30.95,61.86,فروشگاه ابزارحالت کشاوزی
367,Saint George,GR,88.0,few clouds,39.45,22.34,MX PARK KYPARISSOS
368,Chibuto,MZ,72.91,clear sky,-24.69,33.53,Hotel Chibuto
377,Wattegama,LK,73.99,broken clouds,7.35,80.68,HOTEL RED LETTER
378,Samana,EC,78.8,broken clouds,0.12,-76.97,Nantu
380,Sinnar,IN,70.75,light rain,19.85,74.0,OYO 74339 Hotel G9
381,Gulfport,US,78.8,moderate rain,30.37,-89.09,Courtyard by Marriott Gulfport Beachfront
383,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
385,Dakar,SN,82.4,light rain,14.69,-17.45,Novotel Dakar
387,Japura,ID,74.53,moderate rain,-0.42,102.29,Kita Losmen
389,Kaputa,ZM,74.89,clear sky,-8.47,29.66,Chelelwa Charlets
390,Sao Jose Da Coroa Grande,BR,76.69,light rain,-8.9,-35.15,Crôa Mares Hotel
394,Formosa,BR,82.45,scattered clouds,-15.55,-47.33,Hotel Shalon
397,Presidencia Roque Saenz Pena,AR,83.35,few clouds,-26.79,-60.44,Hotel Aconcagua
401,Shibganj,BD,83.17,light rain,25.01,89.36,রব্বানী কর্মজীবী আবাসিক মেস
408,Isangel,VU,71.83,light rain,-19.55,169.27,Tanna Lodge
409,San Jose,HN,87.49,scattered clouds,14.25,-87.96,APUFRAM
410,Kavaratti,IN,79.75,moderate rain,10.57,72.64,Dharul Hudha
411,Chapais,CA,73.4,clear sky,49.78,-74.86,Hôtel Opémiska
416,Mizdah,LY,82.63,clear sky,31.45,12.98,محمدالمبروك الاريقط
418,Ishigaki,JP,82.63,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
422,Desbiens,CA,78.01,few clouds,48.42,-71.95,Motel Lac St-Jean Inc
426,Nantucket,US,71.01,scattered clouds,41.28,-70.1,Jared Coffin House
427,Tabligbo,TG,80.6,few clouds,6.59,1.5,Grand Hôtel MINA
429,Bang Saphan,TH,80.65,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
432,Lagoa,PT,80.01,few clouds,37.14,-8.45,DETAILS Vale da Lapa Village Resort
434,Keti Bandar,PK,80.65,broken clouds,24.14,67.45,Haji laloo memon house
439,Ulvik,NO,73.4,clear sky,60.57,6.92,Ulvik Hotel
440,Luanda,AO,73.4,scattered clouds,-8.83,13.24,EPIC SANA Luanda
443,Kushima,JP,73.63,light rain,31.5,131.29,ゲストハウスたけだ
446,Sidi Ali,DZ,87.31,overcast clouds,36.1,0.42,Complexe touristique haje bezine
452,Crewe,GB,82.0,clear sky,53.1,-2.44,Crewe Hall Hotel & Spa
459,Magione,IT,82.4,clear sky,43.14,12.2,Villaggio Albergo Le Tre Isole
462,Erzincan,TR,72.0,broken clouds,39.75,39.49,Eriza Boutique Hotel
463,Oistins,BB,84.2,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
466,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,Nusa Island Retreat
467,Pachino,IT,86.0,few clouds,36.72,15.09,Il Veliero
469,Potiskum,NG,77.23,light rain,11.71,11.08,Rimi uku
471,Jamshedpur,IN,77.41,few clouds,22.8,86.2,Ginger Jamshedpur
473,Merauke,ID,75.43,broken clouds,-8.49,140.4,Swiss-Belhotel Merauke
474,Mahebourg,MU,72.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
477,Sola,TZ,75.79,few clouds,-3.17,33.8,Pamba hotel
478,Hearst,CA,74.71,overcast clouds,49.69,-83.67,Companion
479,Ciechocinek,PL,86.0,clear sky,52.88,18.79,Pałac Łazienki II
481,Frederick,US,77.0,scattered clouds,39.41,-77.41,Hampton Inn & Suites Frederick-Fort Detrick
482,Laguna,BZ,89.6,few clouds,16.17,-88.94,Kiskadee Lodge
486,Bubaque,GW,80.11,light rain,11.28,-15.83,"Casa Dora, Bubaque"
487,Pangai,TO,73.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
490,San Cristobal,HN,87.13,broken clouds,14.68,-86.92,Casa de Yeimy Viera
491,Springfield,US,86.0,light rain,37.22,-93.29,Best Western Route 66 Rail Haven
493,Pasighat,IN,74.89,broken clouds,28.06,95.33,Siang Guest House
494,Beyneu,KZ,76.33,overcast clouds,45.32,55.19,Hotel Бейнеу
495,Samarai,PG,72.37,light rain,-10.62,150.67,Nuli Sapi
500,Vung Tau,VN,78.13,overcast clouds,10.35,107.08,Seaside Resort
503,Mechanicsville,US,78.01,light intensity drizzle,37.62,-77.34,Holiday Inn Express Richmond-Mechanicsville
505,Roanoke Rapids,US,75.0,light rain,36.46,-77.65,Hampton Inn Roanoke Rapids
507,Senno,RU,73.4,light rain,57.76,27.95,House in the village
511,Quatre Cocos,MU,72.0,broken clouds,-20.21,57.76,Sunrise Attitude Hotel
512,Benito Juarez,CU,89.6,scattered clouds,22.29,-79.63,"Hostal ""Las Tejas"""
514,Syracuse,US,75.99,clear sky,43.05,-76.15,Crowne Plaza Syracuse
515,Kisangani,CD,78.8,broken clouds,0.52,25.21,Grand Ramela Hotel
517,Ushtobe,KZ,76.33,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
520,Vardo,US,77.0,few clouds,39.62,-77.74,"Holiday Inn Express & Suites Hagerstown, an IHG Hotel"
521,Segou,SN,77.0,broken clouds,12.41,-12.29,Africa Cascade
522,Port Blair,IN,81.19,moderate rain,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
523,Khani,GE,77.0,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
525,Jieshi,CN,81.0,light rain,22.82,115.83,Yuehai Hotel
526,Alfatar,BG,84.99,few clouds,43.95,27.28,Семеен хотел Братила
528,Calama,CL,77.0,clear sky,-22.46,-68.93,Park Hotel Calama
530,Sheridan,US,73.99,few clouds,39.65,-105.03,"Holiday Inn Denver Lakewood, an IHG Hotel"
532,Namatanai,PG,78.31,moderate rain,-3.66,152.44,Namatanai Hotel
534,Jasper,US,77.0,light intensity drizzle,33.83,-87.28,Hampton Inn Jasper
537,Yokadouma,CM,71.11,overcast clouds,3.52,15.05,Hôtel De Ville De Yokadouma
538,Ternate,PH,78.8,broken clouds,14.29,120.72,Puerto Azul Clubhouse
541,Roma,IT,86.0,thunderstorm,41.89,12.48,Cosmopolita Hotel Roma Tapestry Collection by Hilton
543,Bandarbeyla,SO,77.41,broken clouds,9.49,50.81,JABIR HOTEL
546,Barabinsk,RU,70.03,broken clouds,55.35,78.35,Gostinichnyy Kompleks Noy
548,Bauchi,NG,72.37,light rain,10.31,9.85,Fariah Suites
549,Port Keats,AU,70.21,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
550,Lucapa,AO,76.33,broken clouds,-8.42,20.74,Lírio Mendes
552,Grong,NO,71.6,clear sky,64.47,12.32,Grong Farm and Guesthouse
553,Moose Factory,CA,78.8,clear sky,51.26,-80.61,Cree Village Eco Lodge
554,Tananger,NO,75.2,clear sky,58.94,5.59,Hummeren Hotel
557,Eyl,SO,77.05,broken clouds,7.98,49.82,DAAWAD HOTEL EYL
558,Saint-Augustin,CA,80.01,few clouds,45.63,-73.98,Camping Mirabel
561,Deep River,CA,78.01,few clouds,46.1,-77.49,Deep River Motel
562,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
563,Eureka,US,73.0,haze,40.8,-124.16,Eureka Inn Trademark By Wyndham
564,Moen,BE,90.0,clear sky,50.77,3.4,'t Bed & de Tafel
